target,ecfp_alone,morphology+ecfp,delta_over_chemistry,expression_alone,morphology+expression,delta_over_expression,morphology_alone,morphology_minus_chemistry
moa-fine,0.1746666666666666,0.318,0.1433333333333334,0.3386666666666666,0.3440000000000001,0.005333333333333468,0.2673333333333334,0.09266666666666681
tox_cardiotoxicity,0.1407192460317461,0.0566666666666667,-0.0840525793650794,0.0619047619047619,0.0663095238095238,0.004404761904761904,-0.0052380952380952,-0.1459573412698413
tox_infertility,0.1928333333333334,0.1292777777777777,-0.0635555555555557,0.0159444444444444,0.018,0.0020555555555555986,0.0114444444444444,-0.18138888888888902
tox_liver_toxicity,0.2437272727272728,0.1698787878787878,-0.073848484848485,0.216878787878788,0.200969696969697,-0.01590909090909101,0.0122121212121212,-0.2315151515151516
tox_pulmonary_toxicity,0.0915555555555556,0.1460555555555556,0.05450000000000001,0.0123333333333333,0.0066111111111111,-0.005722222222222201,0.0642222222222222,-0.027333333333333404
tox_renal_toxicity,0.147111111111111,0.1175555555555555,-0.0295555555555555,0.1295,0.1123333333333335,-0.01716666666666651,0.0077222222222222,-0.13938888888888878
