pair,variant,n,p_a,p_b,rv_adj,rv_adj_p,mantel_r,mantel_p,protest_r,protest_p,rv_plain,rv2,rv_emp_adj,permutations
morphology~expression,observed,119,636,41780,0.015656793747608422,0.0968,0.20207983118124806,0.0001,0.4493319657045827,0.011,0.08551960967525979,-0.012020612578371698,0.015530313987588449,9999
morphology~expression,ctl_scrambled,119,636,41780,0.006202384739884839,0.2465,0.028176315273411905,0.2726,0.4316836546530435,0.1652,0.07673621828823579,0.00411862231518583,0.006000936212475875,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.0029611326603035918,0.5325,-0.019787547279153914,0.645,0.4197310238614448,0.5634,0.06822307275561637,-0.0012735574511370663,-0.002859589698603819,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.012642932095506555,0.9167,0.009515614589910357,0.4134,0.41438795148559165,0.7885,0.059228429758832093,-0.01155033463373436,-0.012803585216980693,9999
morphology~expression,ctl_scrambled,119,636,41780,0.0016069248157336744,0.3687,0.016122418577315348,0.3619,0.42573125214840774,0.3279,0.0724669167291189,0.006727503276595826,0.0015651081248490655,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.01535624317504547,0.9701,-0.07492995692362274,0.9509,0.40732549120540246,0.9623,0.05670769333343843,-0.011414522887493615,-0.01561533074678148,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.011837849750897505,0.8895,-0.02351811219168134,0.6778,0.41405216959902363,0.7964,0.05997637215541208,-0.0096360464507795,-0.01178430705836441,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.0017099428822204869,0.4817,0.014062949927387373,0.3687,0.41822275382583485,0.6279,0.06938546053801184,-0.009921910536770728,-0.001620756559589915,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.00638157078267979,0.6881,0.0009907134644855404,0.4796,0.41636152828561934,0.712,0.06504539695172588,-0.007653127937294654,-0.006451797156301739,9999
morphology~expression,ctl_scrambled,119,636,41780,0.008447905832659391,0.188,-0.05457776488878568,0.874,0.4240603470848595,0.3691,0.07882236567296858,0.012936829538388431,0.008710110645615008,9999
morphology~expression,ctl_scrambled,119,636,41780,0.04007075166462236,0.0071,0.0467974235040169,0.1656,0.45468790673618853,0.0042,0.10820081032104159,0.0401417384517953,0.040071517009818675,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.0002008737992709899,0.4304,0.03245104074472988,0.2446,0.42941179444664906,0.2206,0.07078742488869463,0.008754272969828657,-0.00045804516468480786,9999
morphology~expression,ctl_scrambled,119,636,41780,0.004603771622190217,0.2819,0.02742535937008344,0.2832,0.4315672739777217,0.1665,0.07525106520487844,-0.009215893794610077,0.0044662564142818936,9999
morphology~expression,ctl_scrambled,119,636,41780,1.7127189416303555e-05,0.4259,0.05856471421635797,0.1141,0.42913305663920787,0.2268,0.07098995346608475,-0.004350725854866883,-7.903774229053824e-05,9999
morphology~expression,ctl_scrambled,119,636,41780,0.0013742192745853556,0.3694,-0.0211999422452938,0.6612,0.42819499716126136,0.2419,0.07225072724078971,0.005553800303553793,0.0016124790568129805,9999
morphology~expression,ctl_scrambled,119,636,41780,0.013539130277583102,0.114,0.09424535586326487,0.0276,0.4454276820859766,0.0189,0.08355224534100678,0.006672138905056765,0.013519089351932061,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.002866041475906421,0.52,-0.012808987391250285,0.5832,0.41987315030113476,0.5482,0.06831141493431138,-0.003747721555026449,-0.002707862690606131,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.009814075001337106,0.8198,0.024025586853082717,0.3002,0.4105863298286517,0.898,0.061856511431176854,-0.011502539909489237,-0.009783646586839945,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.00137545856968186,0.4738,-0.05504618562954236,0.8769,0.41699660775939146,0.6768,0.06969620514694999,0.005757182091758501,-0.0012328682054332295,9999
morphology~expression,ctl_scrambled,119,636,41780,0.0021505151836257665,0.3478,0.04266870972183686,0.179,0.4229489137884793,0.4269,0.07297192629148419,-0.011718484880696664,0.0021802079981426445,9999
morphology~expression,ctl_scrambled,119,636,41780,-0.0005943547517554109,0.4307,0.01966433954613534,0.3288,0.41821760568584593,0.6182,0.07042187086980395,-0.0013142049656008075,-0.0003584114195062122,9999
morphology~expression,ctl_random,119,636,41780,-0.00013411134012556117,0.5614,0.1000422614675555,0.0434,0.4738068582219794,0.2404,0.24470930412221756,0.018884693484532793,-0.00013228037453679885,9999
morphology~expression,ctl_random,119,636,41780,0.00011083957674613224,0.4519,-0.025880952334317954,0.6738,0.47348210330697404,0.6865,0.2449002185100262,0.027974031174383265,9.600204003009928e-05,9999
morphology~expression,ctl_random,119,636,41780,-9.24987736060034e-05,0.5496,0.002080454106205391,0.4873,0.4734583014614444,0.73,0.24475074574782618,0.024361571939504847,-9.680767464412684e-05,9999
morphology~expression,ctl_random,119,636,41780,-0.00017335861297477725,0.5834,-0.044257245855839414,0.7738,0.47345327102041596,0.7223,0.24468412779356208,0.029677899561571096,-0.00017974074274035252,9999
morphology~expression,ctl_random,119,636,41780,-0.0007455534905628587,0.8256,-0.03215758421604852,0.711,0.4735839623962071,0.5414,0.2442475702571274,0.016014688418711252,-0.0007453755569986996,9999
morphology~expression,ctl_random,119,636,41780,-0.0008147085510807866,0.8452,0.017788918800694067,0.3761,0.4731792078258238,0.9404,0.2441887955498882,0.021364735718789565,-0.0008071366544120385,9999
morphology~expression,ctl_random,119,636,41780,-0.0011252745366459038,0.9319,-0.04286710553043993,0.7815,0.47328324667405397,0.8945,0.24396574604763943,0.016554869639995678,-0.001129989152094916,9999
morphology~expression,ctl_random,119,636,41780,0.0014253456013781536,0.0383,-0.016480054648971423,0.6082,0.4740029930461502,0.0779,0.24589080146250297,0.038392926141681466,0.0014280449996063405,9999
