compound,moa_fine,source,comp1,comp2,comp3,comp4,comp5,comp6
5-Fluorouracil,DNA synthesis/repair inhibitor,training,-1.9998018078481823,-0.38145144043334966,1.297592433229325,1.4100292711827296,-1.954214207451025,-2.0134307172329926
AT7519,CDK inhibitor,training,-1.3880217907317687,-0.21474745096256595,-1.9576953336254512,4.092595389450995,-2.0297659131925396,0.08133568987424754
AZD-8055,MTOR inhibitor,training,-0.4176470744679107,-1.8142160226695092,1.3225736982512268,-1.1272163007852567,-1.4086110254436932,-4.562857932786903
Alpelisib,PI3K/AKT inhibitor,training,2.595378050533031,-0.022698527254777043,0.022653574214464702,1.0529007230049432,0.8434768163329788,0.7893881899759118
Altretamine,DNA synthesis/repair inhibitor,training,1.7755944925192628,0.24358795323260513,1.0342420931655787,-0.7436172933647487,2.7046212645926073,0.5218577631497493
Amsacrine,DNA synthesis/repair inhibitor,training,-2.711530641063343,1.8070762149986224,-3.60068017240951,-4.228900267597793,-5.018103356847785,0.09800725168081376
Bendamustine,DNA synthesis/repair inhibitor,training,-0.27122071109576606,0.8278032769424583,1.0858588741979671,0.8658226884769024,0.7526135409972111,-2.0716261348018734
Binimetinib,MEK inhibitor,training,0.7086163925755524,-0.9118029514996611,0.8832997673246611,3.319487381089522,-1.2244709298906358,-0.9374135930776069
Capivasertib,PI3K/AKT inhibitor,training,4.382629128462191,-1.9791655901104936,-0.1622693808533391,-1.445918265499568,2.2619983514771445,0.23351698042256597
Celecoxib,Cyclooxygenase inhibitor,training,0.8159894460017344,-0.9897491313711325,0.7014501926915365,-1.12281458993743,2.9430839199190695,0.31398432094652373
Clofarabine,DNA synthesis/repair inhibitor,training,-5.485223635140666,0.6968312952355422,0.23082731519277944,-0.20781548456879553,-0.6760720643445078,-1.2980775604829349
Dabrafenib,RAF inhibitor,training,1.6755669233838295,-0.5544270007453226,0.5136679872801362,2.004354657359829,-1.7376908216251226,-1.3747632320047896
Encorafenib,RAF inhibitor,training,1.3249119414682016,-1.7727009401923337,-0.8101281447564254,-0.09041352154835758,-13.23652758147707,-3.208346664724128
