component,block,feature,loading
3,gex,ASGR1,-0.05325360087088603
3,gex,PRELID1P5,0.05013838603251666
3,gex,SEMA6B,-0.04987695249503774
3,gex,LINC02520,0.03820369773024526
3,gex,CPB2,-0.03611373336781725
3,gex,LINC01541,0.03607761839671923
3,gex,LINC02801,0.027903431880977735
3,gex,TPPP2,0.02538390392530055
3,gex,INCENP,-0.01628232125789952
3,gex,AURKB,-0.015299419698557117
3,gex,ATAD2,-0.01084792114759142
3,gex,KIF2C,-0.004861701928721343
3,gex,PDE11A,-0.0029419536887852144
3,gex,LINC00686,0.002232654090258432
3,morph,Nuc_Correlation_RWC_DNA_ER,0.6414030802055237
3,morph,Cyto_Correlation_RWC_ER_AGP,0.47770908200922185
3,morph,Cells_Correlation_RWC_DNA_AGP,0.46761255631721915
3,morph,Nuc_Correlation_RWC_DNA_AGP,0.3764745784458692
3,morph,Nuc_Correlation_Correlation_DNA_Mito,0.0012290757721210473
4,gex,DIO2,0.27587743458661645
4,gex,PEAK3,0.2661029749815143
4,gex,SSTR2,0.26520062799523836
4,gex,LRRC17,0.25938615855686464
4,gex,LINC01811,0.2561799353256352
4,gex,LINC01836,0.2533175435409106
4,gex,PRAM1,0.25210534500499243
4,gex,CALCRL,0.2504120935448711
4,gex,LINC02986,0.24316538892454861
4,gex,ANO7L1,0.22979401432989638
4,gex,MMP21,0.22219458787264135
4,gex,ZDHHC11B,0.2074333038642264
4,gex,SLC6A3,0.20464573258425897
4,gex,IGSF11,0.16170299410117153
4,gex,PSKH2,-0.1540586911105998
4,gex,ESPNL,0.14058958368594524
4,gex,Y_RNA-538,-0.1379124729565111
4,gex,RRN3P4,-0.11257111599216722
4,gex,HSPD1P10,0.09746929786939594
4,gex,SLCO5A1,-0.09024861519040751
4,gex,SRGAP3,0.0883356859235252
4,gex,CDH15,0.08737563234746071
4,gex,PPIAP6,-0.08274019028603975
4,gex,CREB5,-0.08258463953849367
4,gex,NCF4,-0.08021542243355961
4,gex,SPATA3-AS1,-0.0792867043274159
4,gex,CLEC10A,0.07468945085632155
4,gex,FAM87B,-0.06610681111089836
4,gex,SIAH2-AS1,0.06086134475298733
4,gex,ZNF793,0.05805604411953189
4,gex,MYO18B,-0.05712951580166343
4,gex,LINC02031,-0.05223686873288956
4,gex,FAM184A,0.051165365166791495
4,gex,PSMD7-DT,0.050234009841255166
4,gex,ESRRB,0.048595713097704295
4,gex,RGS9,-0.04675675334272101
4,gex,INTS6-AS1,0.04117051393540291
4,gex,SLC25A31,0.04012865528761549
4,gex,CYGB,0.0381232467552619
4,gex,POTEKP,0.03629767182321719
4,gex,NPIPA7,-0.03581914862751308
4,gex,MEIKIN,0.03512858222128203
4,gex,PLA2G2C,0.03215563121421217
4,gex,TTLL10,0.031286085503659036
4,gex,CCL24,0.02989044854442607
4,gex,CFAP418-AS1,0.029331880204883778
4,gex,TPH2,0.028922832452802794
4,gex,PPP1R36,0.0284869658495949
4,gex,LINC02840,0.027218984043644687
4,gex,COL15A1,0.02718158911474869
4,gex,CD44-AS1,0.024896173274784376
4,gex,CEACAM16,0.02335710465380384
4,gex,MIR122HG,0.022714768090478447
4,gex,C2orf78,-0.0189188100938119
4,gex,GJB5,-0.016865159931661263
4,gex,MGC27382,0.016775701552345937
4,gex,CCT5P1,-0.015345473420188814
4,gex,NES,-0.013825116752335165
4,gex,VSX1,0.01315938370556572
4,gex,STAB2,0.012488611364053326
4,gex,MAP2K6,0.012278291352317637
4,gex,LINC02145,0.011453778410298395
4,gex,NIM1K,0.011436514255157763
4,gex,CA7,-0.010912165796127946
4,gex,LINC02613,0.008122224673957882
4,gex,NOPCHAP1,0.007731933873529437
4,gex,RN7SKP71,-0.0065566480146642655
4,gex,KRT16,-0.006396296180478457
4,gex,TNP1,0.005096726821579337
4,gex,PRODH,0.004242499633424057
4,gex,SLIT2,0.0039839251912966315
4,gex,CD200,0.00333984582491884
4,gex,BSPH1,0.003197424567304097
4,gex,NCOA4P4,-0.002310706065467247
4,gex,PHOSPHO1,-0.001689748803703645
4,morph,Cyto_Texture_InfoMeas2_ER_10_03_256,0.7786322353710476
4,morph,Cyto_Texture_InfoMeas2_ER_10_01_256,0.45087598473059537
4,morph,Nuc_AreaShape_Zernike_2_0,0.3941367066983477
4,morph,Nuc_AreaShape_Zernike_8_6,0.1830837384931915
4,morph,Cyto_AreaShape_MeanRadius,-0.039740276378487614
5,gex,LINC00517,0.4426734485178724
5,gex,LINC02785,-0.37009947189038
5,gex,LINC00928,0.3003891491165186
5,gex,LINC01076,0.22814888361852934
5,gex,TMIE,0.21955719593747985
5,gex,PCDHA1,0.21235845751135876
5,gex,ATP6V1G3,0.20697688013499738
5,gex,F2RL2,-0.18510121668256047
5,gex,OR5B21,0.18155148410126848
5,gex,CYCSP6,-0.16985839907740488
5,gex,HRURF,0.1693849154205592
5,gex,DCLK3,0.16626248720976136
5,gex,OR2L13,0.15771350218700558
5,gex,BEST2,0.15054184501045928
5,gex,RNU6-580P,0.14570803466539667
5,gex,H3C3,-0.1439601819658099
5,gex,CYGB,0.13446129309380028
5,gex,RNU1-22P,0.12443761865755036
5,gex,Y_RNA-262,0.11403231778838095
5,gex,WNT4,-0.1106431626521329
5,gex,PDZK1IP1,-0.10891993653428751
5,gex,IL12B,0.09373845188817498
5,gex,PRR13P5,0.09349236584703359
5,gex,POMC,0.09026188832575796
5,gex,GOLGA8Q,0.08481028898704292
5,gex,UFD1-AS1,0.0812403824206324
5,gex,TPTEP1,0.07858384096650857
5,gex,FAM181A-AS1,0.07599888837147825
5,gex,PCDHA11,0.068853395814216
5,gex,CYP2AC1P,0.06632318023745117
5,gex,DIRAS3,-0.05690087245841622
5,gex,TEKT4,-0.050068584328929903
5,gex,LINC00442,-0.04797902406428257
5,gex,TPT1P9,-0.035196083860303484
5,gex,LCAL1,0.031178554696097927
5,gex,KIF25-AS1,0.029914319131679613
5,gex,LINC02795,0.028525984082629442
5,gex,RN7SL397P,0.02827142340969266
5,gex,OR7E126P,-0.023990445076957717
5,gex,TAS2R5,-0.02055097408606057
5,gex,TMCO5B,0.019023732998038525
5,gex,LINC01541,0.016407428525433684
5,gex,RPL5P1,0.015241221804975953
5,gex,C2orf78,0.013680972860562465
5,gex,LINC02840,-0.01283682677634439
5,gex,MS4A6E,0.012745544917958311
5,gex,SNRPGP15,-0.010778093602042151
5,gex,Metazoa_SRP-138,0.010270787151215557
5,gex,MRPL42P2,0.008740010784215891
5,gex,IMP3P2,0.008227832354810257
5,morph,Nuc_Texture_Contrast_AGP_5_01_256,0.5027488054298416
5,morph,Cells_RadialDistribution_RadialCV_AGP_2of4,0.3762512971936165
5,morph,Nuc_Granularity_2_AGP,0.29389134919069565
5,morph,Nuc_RadialDistribution_RadialCV_AGP_3of4,0.26802323946599876
5,morph,Cells_RadialDistribution_RadialCV_AGP_1of4,0.2508769555271314
5,morph,Cells_Granularity_2_AGP,0.20780783995910201
5,morph,Nuc_Texture_InfoMeas1_AGP_3_03_256,-0.2037769493924149
5,morph,Cyto_RadialDistribution_RadialCV_AGP_1of4,0.19210666530801312
5,morph,Nuc_Texture_InfoMeas2_AGP_3_00_256,0.1781223024094258
5,morph,Nuc_Granularity_10_AGP,0.1715750191298138
5,morph,Cyto_Granularity_8_AGP,0.17157301140733036
5,morph,Nuc_RadialDistribution_RadialCV_AGP_4of4,0.17146164905478126
5,morph,Nuc_Granularity_9_AGP,0.14610456184832696
5,morph,Cyto_Texture_AngularSecondMoment_ER_3_00_256,-0.13772403185030302
5,morph,Cyto_RadialDistribution_RadialCV_AGP_2of4,0.13569857097638158
5,morph,Cells_RadialDistribution_RadialCV_AGP_3of4,0.12694023913323538
5,morph,Cells_Granularity_2_ER,0.1267283270551729
5,morph,Cyto_Granularity_5_AGP,0.11928695987889168
5,morph,Nuc_Granularity_2_ER,0.10754985470046416
5,morph,Nuc_Granularity_3_AGP,0.08717638765970118
5,morph,Nuc_Texture_DifferenceVariance_AGP_10_01_256,-0.07494204536685001
5,morph,Cyto_Texture_Correlation_ER_5_03_256,-0.07080044514063616
5,morph,Nuc_Texture_InfoMeas1_AGP_3_00_256,-0.06017006996754201
5,morph,Cells_Texture_Correlation_ER_3_00_256,-0.038406056878393956
5,morph,Nuc_AreaShape_Zernike_7_1,0.03801844065308049
5,morph,Nuc_Texture_DifferenceVariance_AGP_10_03_256,-0.03474232185964876
5,morph,Nuc_Intensity_MinIntensityEdge_ER,-0.01015982507193472
5,morph,Cyto_Texture_Correlation_ER_5_01_256,-0.009141727336272725
5,morph,Nuc_RadialDistribution_MeanFrac_Mito_3of4,0.007155409031997871
5,morph,Cells_Granularity_4_AGP,0.0011402728894280142
6,gex,RPL21P8,-0.7528874034597757
6,gex,CLEC4GP1,-0.6388787196482879
6,gex,KIAA0408,0.13888278865546175
6,gex,PGA5,-0.07520923523824082
6,gex,LINC00314,-0.007048492202079088
6,morph,Nuc_Texture_AngularSecondMoment_ER_10_02_256,0.29447474294958303
6,morph,Nuc_Texture_Entropy_ER_10_02_256,-0.28573815135310976
6,morph,Nuc_Intensity_IntegratedIntensityEdge_ER,-0.28358950764053603
6,morph,Nuc_Intensity_IntegratedIntensity_ER,-0.2783929429402234
6,morph,Nuc_Texture_DifferenceVariance_ER_10_01_256,0.23836975917478934
6,morph,Nuc_Texture_DifferenceVariance_ER_10_03_256,0.2313755107053161
6,morph,Nuc_Texture_DifferenceEntropy_ER_10_01_256,-0.2252857572907138
6,morph,Nuc_Texture_AngularSecondMoment_ER_10_01_256,0.22232246373738868
6,morph,Nuc_Texture_AngularSecondMoment_ER_10_03_256,0.22225275052497528
6,morph,Nuc_Intensity_MassDisplacement_DNA,-0.2186841924184387
6,morph,Nuc_RadialDistribution_RadialCV_DNA_2of4,-0.1856268186373663
6,morph,Nuc_RadialDistribution_FracAtD_DNA_2of4,0.17517121844529895
6,morph,Nuc_Texture_Correlation_DNA_10_01_256,-0.174942664548956
6,morph,Nuc_RadialDistribution_RadialCV_DNA_1of4,-0.16315385808083646
6,morph,Nuc_Texture_Correlation_AGP_5_01_256,-0.15780315975541317
6,morph,Cells_Granularity_8_DNA,-0.1387123104230092
6,morph,Nuc_Texture_Correlation_AGP_3_03_256,-0.12964690100414952
6,morph,Nuc_Texture_Correlation_DNA_10_00_256,-0.12317882766797225
6,morph,Nuc_Texture_Correlation_AGP_5_03_256,-0.12225849635487006
6,morph,Nuc_Texture_DifferenceVariance_ER_10_02_256,0.1217039403804185
6,morph,Nuc_Texture_Correlation_DNA_10_03_256,-0.12079508529554897
6,morph,Nuc_Texture_DifferenceEntropy_ER_10_02_256,-0.11752921228942398
6,morph,Nuc_AreaShape_BoundingBoxArea,-0.11352642548616683
6,morph,Nuc_RadialDistribution_FracAtD_DNA_4of4,-0.11186625086748918
6,morph,Nuc_Texture_Correlation_AGP_10_02_256,-0.10498186659924269
6,morph,Nuc_Correlation_Overlap_AGP_ER,0.09897497430903798
6,morph,Nuc_Texture_Correlation_AGP_5_02_256,-0.09079832896010925
6,morph,Cells_Intensity_MaxIntensity_ER,-0.08754691942054212
6,morph,Cells_Texture_AngularSecondMoment_ER_10_01_256,0.08371229580463635
6,morph,Nuc_Texture_SumVariance_ER_10_01_256,-0.07529077842438275
6,morph,Nuc_Texture_Correlation_AGP_5_00_256,-0.07081362686424994
6,morph,Cells_Granularity_9_DNA,-0.061750560951703
