gene,highly_variable
CYP3A43,False
SLC7A9,False
SPAST,False
NRXN3,False
OSBPL5,False
AQR,False
CPS1,True
C8B,True
FHL1,False
RTF2,False
GABRA1,False
NLRP2,False
SLC45A4,False
RNF10,False
ZNF839,False
ZDHHC6,False
GRAMD1B,True
RNH1,False
NDUFS1,False
RB1CC1,False
ERP44,False
ALAS1,False
BIRC3,True
AKAP11,False
GLRX2,False
SNAPC1,False
DERA,False
STRAP,False
ABCC2,False
DEF6,False
PLEKHO1,False
GCLM,True
UBR2,False
EHD2,False
DEPDC1,False
CCDC28A,False
RRAGD,False
HSF2,True
PHF20,False
HSD17B6,False
NR1H3,False
TYMP,False
NCAPH2,False
TOMM34,True
SEC63,False
KPNA6,False
VIM,True
RTEL1-TNFRSF6B,False
FAS,False
RNASET2,False
CD44,True
KCNG1,False
AGPAT4,True
SLAMF7,False
BTN3A1,False
MIPEP,False
PRKCH,False
INSRR,False
IFNGR1,True
B4GALT7,False
SH2D2A,False
VRK2,False
TNFRSF1B,False
VEZT,False
POU2F2,True
BRD9,False
SNX1,False
TBPL1,False
BMAL2,False
BCLAF1,False
SLC39A9,False
ANK1,False
IBSP,False
TFB1M,False
RABEP1,False
HMGB3,False
NUP160,False
BAK1,False
MUSK,False
IKZF2,False
GRN,False
FAM13B,False
ARHGAP31,True
CENPQ,False
SARS1,True
RANBP3,False
ARID4A,False
EIPR1,False
PNPLA6,False
IFT88,False
ALG1,False
ZCCHC8,False
ABCF2,False
CHPF2,False
LRRC7,False
FUT8,False
UBA6,False
GAB2,False
ATP6V0A1,False
PIAS1,False
SLC4A7,False
APBA2,False
MAP2K3,True
CLXN,False
TMSB10,True
ASTE1,False
RNF19A,False
PEX3,False
GABARAPL2,False
MYOC,False
SH3YL1,False
FAM136A,False
VCL,False
DEPDC1B,True
DAPK2,True
NSMAF,False
ADSS2,False
STAP1,False
TIMP2,True
RFC1,False
TBC1D23,False
CUL3,False
MYOM2,False
OTC,False
CYP46A1,True
ZZZ3,False
SLC18A1,False
USP2,False
CASR,False
TUBG2,False
RPL26L1,False
FLT4,False
NSUN2,False
FBXO42,False
MFAP3,False
MRI1,False
