compound,moa_fine,source,comp1,comp2,comp3,comp4,comp5,comp6
Valdecoxib,Cyclooxygenase inhibitor,training,-0.7232508723233543,-0.9187585799987369,-1.7378602343600524,0.8434598368272666,-1.3317445973577853,1.065230671521195
Vemurafenib,RAF inhibitor,training,4.109448070124043,-0.5459055834565089,1.8291431994105034,0.38040064378561145,0.2020523291154688,2.9076221182915813
Vinblastine (sulfate),Microtubule inhibitor,training,-6.035019682687731,-0.2200638277298562,2.219420367706187,-1.5061266459602967,-0.70715510256686,1.14128205849598
Vismodegib,Sonic inhibitor,training,0.08379552605262523,-1.429830820470034,-1.8951115781654069,-0.09602072670558945,-0.18277383198999633,0.8346467947076601
olaparib,DNA synthesis/repair inhibitor,training,2.914561953907926,-1.126833145896641,-1.715835239098144,-0.8275730438977441,0.16726310227758506,-0.042720248883371253
palbociclib,CDK inhibitor,training,3.15157815311776,-0.5743470253046818,-1.251616279837541,-0.8654830123798851,-0.9384098314331348,1.0631455083630512
Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,training,-14.362994164822151,0.8445489806511808,2.861828418469449,6.2801807608771165,4.2184021221937,0.502247395674633
18β-Glycyrrhetinic acid,unclear,projected,-3.305936362215762,-0.6362546104270995,0.6364624133008692,1.2561135408659851,-0.6144629114211019,-0.012800799783389955
8-Hydroxyquinoline,unclear,projected,-4.214099736913532,1.0015763410746215,-0.32842684790171256,0.616021295498852,-0.7646459625802189,-1.026951920785219
Abiraterone acetate,unclear,projected,-2.0541241679192135,0.07493292524284875,-0.197094681925945,0.16710719099727236,-0.04218150249660496,0.7695894234757795
Acetohexamide,unclear,projected,-2.4169954117785526,0.20656159971139976,0.3631157009954422,1.026174913898492,-0.6951530151873871,1.1885117714293354
Aliskiren,unclear,projected,-2.358516162312536,0.2703793343662482,1.5997955331241422,0.6094395099778218,-1.3993816030508641,-0.02908508182289887
Aprepitant,unclear,projected,-2.4126876199372376,0.11797132165244503,-1.2947826062183336,-0.1901167298130405,-1.3645026780386897,1.7289877643991058
Belumosudil,unclear,projected,-0.661970847892276,-0.3986189221149295,0.26756531946343115,0.2167057074385997,-0.24011268657307372,0.9522285849036001
Bergenin,unclear,projected,-3.5490090182995466,-0.4077678329154324,0.6660166701867846,1.0588322022726062,-0.37482707044027797,-0.9129365384297631
Bosentan (hydrate),unclear,projected,-3.629405520097244,-0.14378312050794478,-1.3946048533482898,-1.3048911062720112,-1.2355901036342336,1.7454517112869394
Brivudine,unclear,projected,1.5770878280497915,-0.7072631904982702,-0.0414587390287842,-0.2866509979205185,-1.7927017776934326,1.1999118273812013
Captopril,unclear,projected,-1.4645519190623295,-1.0908138722079095,-0.4429389181080426,-1.6616222909885534,-0.9746749091478297,1.7524769173555148
Ciclopirox,unclear,projected,-6.494340167344276,1.3403838498919876,0.4471592588636548,-0.7306200422846705,-0.8371636890777452,0.3222874481608147
Cilostazol,unclear,projected,-2.8488653338282663,-1.1632815863151162,-0.8995743866075492,-0.5576190434060215,1.2640894714067012,0.29204583923965755
Clobetasol propionate,unclear,projected,-0.9902817569873482,0.030506873733158316,-0.7227501960760303,-1.8691747671099395,-0.9693074138165527,2.4101145984978176
Clotrimazole,unclear,projected,-2.471210498759216,-0.49236892446101777,-0.0640045864310069,0.8439950322883639,-1.3280743612967727,2.1806144867694917
Daidzin,unclear,projected,-0.9733635862791892,-0.5112457241042598,-0.9703780465253493,0.28280924721344725,-1.1659115724227236,-0.12552171975643706
Digitoxin,unclear,projected,-5.683881874354936,0.5411008086130757,4.7560664777648904,-1.1479353663472864,-3.037543068498816,-6.071374051773123
Drospirenone,unclear,projected,-0.3455717734798541,-0.8611251922228175,-1.6129950976865453,0.19052096672486193,-0.5010380654910143,2.4883463605763363
EX229,unclear,projected,1.3389482357893119,0.5440144069646157,0.29989138147078537,-0.23757947010636318,-0.9856823596567205,2.53145540086753
Erythromycin,unclear,projected,-1.1838857472548587,-0.9640754693429281,-1.819435199211035,-0.30422466441131835,0.6660324212026367,1.3566168693477092
Fenofibrate,unclear,projected,-2.477780767080166,-0.07148790608443807,-0.5456826965288127,0.04026704982984968,-1.6718640703075682,1.052802035904267
Finasteride,unclear,projected,-1.9942736057340213,0.37271371773261075,-1.2488736260780182,-0.04962386135022235,-0.6822960311500887,0.8521481724162024
