compound,moa_fine,source,comp1,comp2,comp3,comp4,comp5,comp6
5-Fluorouracil,DNA synthesis/repair inhibitor,training,-4.825540304324169,1.2313543646349996,1.154685695295501,1.587205758310957,-1.1399558774006164,0.9671229217129794
AT7519,CDK inhibitor,training,4.537556783386542,1.0735465125552084,0.5377288512100618,-0.5886063004452876,-1.5334144562801078,-0.05426316154309663
AZD-8055,MTOR inhibitor,training,4.629013814154199,0.4155446425745576,0.04693538055535746,0.13524364878286982,4.064061361962763,-0.05745281863122151
Alpelisib,PI3K/AKT inhibitor,training,5.754302185368578,-0.6818133078547745,-0.3723306354171971,-0.4236782555526629,-0.8711381143570343,-0.26665346343933477
Altretamine,DNA synthesis/repair inhibitor,training,-5.5956719347444,1.6455947883756,0.6292770405860958,1.4492204901262473,-1.4933536823607685,1.0916657813750774
Amsacrine,DNA synthesis/repair inhibitor,training,-4.5127887673302345,0.5005753747791649,0.8843071769307527,0.09135316683788687,0.7172379047438163,0.3468015008049312
Bendamustine,DNA synthesis/repair inhibitor,training,-6.6367104239172345,0.10636277955656072,1.47376701850945,1.5675302960733515,-0.8155777361819432,1.1007926635227312
Binimetinib,MEK inhibitor,training,0.5358983322863651,-0.18176098556924525,-9.054358662403251,0.6231307468198496,0.28677050439507684,0.008955101844239971
Capivasertib,PI3K/AKT inhibitor,training,5.485647794279486,1.0695650219856834,0.6269420834535786,0.6039404191364679,-1.627798709596321,-0.16978411358223292
Celecoxib,Cyclooxygenase inhibitor,training,1.4001483893000752,0.039994659406491107,1.3070247109717137,-19.404296860642898,-1.5840668069967208,-0.2747273485681917
Clofarabine,DNA synthesis/repair inhibitor,training,-5.856106242171651,0.8506272014851406,1.6234952467018529,1.3103270102916496,-1.6981284269057872,1.1898699792356107
Dabrafenib,RAF inhibitor,training,5.920053718650861,0.9316455135798505,1.7508125336934284,0.12956581445365054,-1.6095840503324517,-0.4534977788765538
Encorafenib,RAF inhibitor,training,6.778421871789348,0.21441669138389688,-1.714520449310649,0.7664318123346476,-0.8836005616992794,-0.7171577155186064
Erdafitinib,Other TK inhibitor,training,3.5980921513740936,1.1647812404225124,1.117399183408113,1.3611341453744514,-0.9101624355047493,0.0018185975901427827
Gallic acid,Cyclooxygenase inhibitor,training,-5.626574844828691,1.4689318890078074,1.0477035959782453,-3.618274410853532,0.07113576188571792,0.09788071781500939
Glasdegib,Sonic inhibitor,training,-1.1944375876252735,-8.216939025934117,1.9718409524697869,0.3321031348843977,-0.6585547473093754,0.9717005627307794
Idoxuridine,DNA synthesis/repair inhibitor,training,-6.442699125609342,1.1353612326665234,1.2870476739423644,1.9484477231305504,-0.8540662493563719,0.7924516987496358
Infigratinib,Other TK inhibitor,training,5.171254170194037,0.5066327982377835,0.060757512043109176,0.11700020357567065,-0.5022717512068448,-0.4426488588971314
Ipatasertib,PI3K/AKT inhibitor,training,1.9247397133041124,1.5924314369899173,-0.20494739833268205,0.23459359214822229,-1.0463858178220926,0.8783181538293688
Irinotecan,DNA synthesis/repair inhibitor,training,6.233395361977378,0.7362635616965225,1.2182321838108146,2.19251532791649,-1.1281243681251742,0.2287664661279654
LY-2584702 (tosylate salt),MTOR inhibitor,training,1.1539994610337627,0.4388983605028278,0.9515308935295762,-1.3166656118519489,21.363796296531234,-0.17554573249955452
Larotrectinib sulfate,Other TK inhibitor,training,-0.48670641317615726,-0.6224009739945299,1.510263703925069,1.592294039366735,0.5653639704591511,0.27536576392911144
Mebendazole,Microtubule inhibitor,training,-6.245166466661281,-0.6669557682801357,1.3745443816176104,1.779192379583038,-1.1048146649575616,-11.759341636990385
Methotrexate,DNA synthesis/repair inhibitor,training,-3.895786946335143,1.2061905131887958,1.1271801986599839,2.0169529729552624,-1.1454689128389477,0.8290568104127255
OTS514,Other MAPK inhibitor,training,2.6117855064147197,0.6095398211348886,0.017803561319482956,-0.01377417943810816,-0.8008732754858167,-0.15914701510828733
PF-06260933,Other MAPK inhibitor,training,2.3315017664627495,1.1164469939050665,0.781474604691442,1.4534085999389907,-1.4188510295410353,0.7072845566785816
PH-797804,Other MAPK inhibitor,training,2.7017623207000865,1.5598375976180376,0.6729818898018384,-0.34706271127800914,-1.5254618040072998,-0.12552775883791362
Paclitaxel,Microtubule inhibitor,training,6.547594985664875,0.6712689463492317,0.14390877421678383,1.616100667050725,-1.216921801577267,0.011386221001025537
Pemetrexed,DNA synthesis/repair inhibitor,training,-6.093919010249478,-0.4579579229708877,0.6648960182634392,1.2430152868021889,-1.0125498625436624,1.4565294392244796
Ralimetinib dimesylate,Other MAPK inhibitor,training,1.7418784567995675,-1.1194423132749136,-1.7367560224924992,0.7418739511647423,-0.804248038396804,0.6413268307992633
Raltitrexed,DNA synthesis/repair inhibitor,training,-3.772363488335265,1.6933913541223171,0.9228860972672609,0.028587571765983484,0.3719119753354817,0.08474408660359214
Rapamycin,MTOR inhibitor,training,-2.7432741747643954,0.9567298826385305,0.9977591142323505,1.2778503244926902,3.0908747756804464,0.4031882683109055
Ribociclib,CDK inhibitor,training,-1.0426400493017738,-0.02393687280431739,0.07957941863896241,1.889484149867409,-1.3772953202695595,0.7201859051711179
Rucaparib (phosphate),DNA synthesis/repair inhibitor,training,-6.055454346102886,1.5333810853287848,0.4959632788572202,1.9281326257971025,-1.0270881929364881,0.16899976010037882
Sapanisertib,MTOR inhibitor,training,4.929799048536903,0.899021454675514,0.6040247766953554,1.627948274176098,2.7730912016826736,-0.12401131385770667
Sonidegib,Sonic inhibitor,training,0.325942113632309,-10.5581939703835,1.5969002896688769,0.5112994701059117,-0.8998867036268972,0.21957678092754387
TAK-733,MEK inhibitor,training,5.437589185711047,-0.06694775789566212,-2.5631687969880352,-0.09217914580548883,-0.6804197707445799,-0.8122753846842378
Torkinib,MTOR inhibitor,training,4.550749809412854,1.083706476596506,0.8867925057415347,1.313284633974424,0.9223598142375623,-9.910707419791096e-4
Trametinib (DMSO_TF solvate),MEK inhibitor,training,-3.8645351030253363,-0.26438487621995654,-16.917647842376052,-0.9744549329430781,0.062402509314329,-0.13610838064604733
Trimetrexate,DNA synthesis/repair inhibitor,training,-7.142152940138417,1.8214497418133389,0.8696390424559929,0.6014010086617301,0.19816363215502072,0.23059904215230914
Valdecoxib,Cyclooxygenase inhibitor,training,-4.108110620769327,1.2069727509863475,0.7757963608062699,-12.26692208146868,-1.4071682478903733,0.2409983921527615
Vemurafenib,RAF inhibitor,training,6.794009359667178,0.5728630673534453,0.6341245799113936,0.7414641791437449,-0.8598738180535335,-0.06804164658561278
Vinblastine (sulfate),Microtubule inhibitor,training,-5.629869438185583,1.3119396487777282,-0.2922735277998032,0.6415324796472165,1.4078278801999677,-0.13237346818670956
Vismodegib,Sonic inhibitor,training,-2.8536467225116087,-12.838136967253911,-0.21413424776874226,-0.015903777308836884,0.8367603524280136,0.6730475154876215
olaparib,DNA synthesis/repair inhibitor,training,5.004857223637738,0.7667720576826447,0.9535523569317946,0.9019844689248365,-1.5643440148410188,0.35768929860786947
palbociclib,CDK inhibitor,training,6.788581473654559,0.4629250777475231,0.22540624576251117,0.9252354856753545,-1.643141343772904,0.04859108193519416
Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,training,-8.264420047285741,3.1039062026762054,0.045172650333931995,1.7810324082969111,0.1128326519081445,1.1848347683618474
18β-Glycyrrhetinic acid,unclear,projected,-5.770650948140006,0.8582695552532296,0.7376528029136286,-0.7143691746962455,-0.01438705891000939,0.8364939791253244
8-Hydroxyquinoline,unclear,projected,-6.551009680653789,2.4058922144294246,0.7423870952575125,0.11192647974464529,0.09841483729689161,0.19801904616476831
Abiraterone acetate,unclear,projected,-4.377767149320255,-0.23684660553112877,0.22541318606068983,-0.3681522201726279,1.0028093172880153,0.04484689878688861
Acetohexamide,unclear,projected,-4.282717929309206,1.3154326673711676,0.9790512519704647,1.0927841766029889,0.6103374023006647,0.3953931545525004
Aliskiren,unclear,projected,-4.008406419149624,1.3085077307366104,0.5854656558338175,0.11212499699717424,-0.7318310641247153,-0.1874515773884109
Aprepitant,unclear,projected,-5.966624161160956,-1.4344704661441439,-0.0832314688534657,0.44667823212350816,-1.1350384196584562,0.4801296597162842
