model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,target,block,chance,degenerate,permuted_score,gap_vs_permuted
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.3988095238095238,0.1221065340959862,25,False,0,0.1,tox_cardiotoxicity,morphology+ecfp,0.5,False,0.3777380952380952,0.021071428571428574
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4579761904761905,0.0662578879058981,25,False,0,8.2,tox_cardiotoxicity,morphology+ecfp,0.5,False,0.4417857142857143,0.0161904761904762
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.474047619047619,0.1282583268747039,25,False,0,0.4,tox_cardiotoxicity,morphology+ecfp,0.5,False,0.4802380952380952,-0.006190476190476191
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5232142857142857,0.0774861921720525,25,False,0,289.0,tox_cardiotoxicity,expression,0.5,False,0.55,-0.0267857142857143
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5183333333333333,0.0762633579987311,25,False,0,277.4,tox_cardiotoxicity,morphology+expression,0.5,False,0.5528571428571428,-0.03452380952380951
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4622619047619048,0.0918239220087076,25,False,0,4.4,tox_cardiotoxicity,morphology,0.5,False,0.5020238095238094,-0.03976190476190461
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4257142857142857,0.1161201973248296,25,False,0,0.1,tox_cardiotoxicity,morphology,0.5,False,0.5191666666666667,-0.09345238095238095
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.3701190476190475,0.1243403227960096,25,False,0,0.1,tox_cardiotoxicity,morphology,0.5,False,0.5225,-0.15238095238095245
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5948333333333333,0.1051751331920968,25,False,0,0.1,tox_infertility,ecfp,0.5,False,0.4187777777777777,0.17605555555555563
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5356666666666666,0.1167088019150417,25,False,0,0.1,tox_infertility,ecfp,0.5,False,0.4244444444444444,0.11122222222222222
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5614444444444444,0.1563616415971735,25,False,0,0.1,tox_infertility,morphology+ecfp,0.5,False,0.4512222222222222,0.11022222222222222
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5266111111111111,0.1174449437601075,25,False,0,0.1,tox_infertility,morphology+ecfp,0.5,False,0.4175,0.10911111111111116
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5413333333333333,0.1092964876938972,25,False,0,4.7,tox_infertility,ecfp,0.5,False,0.4561111111111111,0.08522222222222225
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5252222222222223,0.114630835271587,25,False,0,8.9,tox_infertility,morphology+ecfp,0.5,False,0.4606666666666666,0.06455555555555564
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4871111111111111,0.1485773689627772,25,False,0,3.2,tox_infertility,morphology+expression,0.5,False,0.4667222222222221,0.020388888888889012
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4618888888888889,0.0920606684022371,25,False,0,281.4,tox_infertility,expression,0.5,False,0.4429999999999999,0.01888888888888901
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.3972222222222222,0.135736445791281,25,False,0,3.5,tox_infertility,expression,0.5,False,0.3792222222222222,0.018000000000000016
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4887777777777777,0.1461216303775643,25,False,0,3.3,tox_infertility,expression,0.5,False,0.4748888888888888,0.013888888888888895
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4509999999999999,0.1121785668663917,25,False,0,0.1,tox_infertility,morphology,0.5,False,0.4392777777777777,0.01172222222222219
