model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,target,block,chance,degenerate
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.4322619047619047,0.0892828570971414,25,True,0,3.1,tox_cardiotoxicity,ecfp,0.5,
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5310714285714286,0.1205914186392759,25,False,0,0.1,tox_cardiotoxicity,ecfp,0.5,False
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.3820238095238095,0.0904639716059944,25,True,0,0.1,tox_cardiotoxicity,ecfp,0.5,
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5389285714285714,0.1188507896653683,25,False,0,0.1,tox_cardiotoxicity,ecfp,0.5,False
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.4336904761904761,0.1087333014260225,25,True,0,0.1,tox_cardiotoxicity,ecfp,0.5,
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5163095238095238,0.0914039215282818,25,False,0,0.3,tox_cardiotoxicity,ecfp,0.5,False
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.4914285714285713,0.0919149389874697,25,True,0,0.3,tox_cardiotoxicity,ecfp,0.5,
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4622619047619048,0.0918239220087076,25,False,0,4.4,tox_cardiotoxicity,morphology,0.5,False
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5020238095238094,0.0945238095238095,25,True,0,2.7,tox_cardiotoxicity,morphology,0.5,
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4257142857142857,0.1161201973248296,25,False,0,0.1,tox_cardiotoxicity,morphology,0.5,False
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5191666666666667,0.1139537589712312,25,True,0,0.1,tox_cardiotoxicity,morphology,0.5,
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.3701190476190475,0.1243403227960096,25,False,0,0.1,tox_cardiotoxicity,morphology,0.5,False
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5225,0.1248470719849687,25,True,0,0.1,tox_cardiotoxicity,morphology,0.5,
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4971428571428571,0.1263994227002517,25,False,0,0.3,tox_cardiotoxicity,morphology,0.5,False
xgboost,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4716666666666666,0.1274952758006112,25,True,0,0.3,tox_cardiotoxicity,morphology,0.5,
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5232142857142857,0.0774861921720525,25,False,0,289.0,tox_cardiotoxicity,expression,0.5,False
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.55,0.1255571483654711,25,True,0,284.7,tox_cardiotoxicity,expression,0.5,
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4995238095238095,0.109564821513927,25,False,0,3.5,tox_cardiotoxicity,expression,0.5,False
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4616666666666667,0.1104942770498589,25,True,0,3.7,tox_cardiotoxicity,expression,0.5,
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5526190476190476,0.1005361195683843,25,False,0,5.4,tox_cardiotoxicity,expression,0.5,False
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5208333333333334,0.1279692689158146,25,True,0,5.5,tox_cardiotoxicity,expression,0.5,
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5769047619047619,0.1136411635762188,25,False,0,51.4,tox_cardiotoxicity,expression,0.5,False
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5025,0.1428861081746474,25,True,0,51.8,tox_cardiotoxicity,expression,0.5,
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5183333333333333,0.0762633579987311,25,False,0,277.4,tox_cardiotoxicity,morphology+expression,0.5,False
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5528571428571428,0.1197043788756094,25,True,0,286.6,tox_cardiotoxicity,morphology+expression,0.5,
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5052380952380953,0.105645220897174,25,False,0,5.5,tox_cardiotoxicity,morphology+expression,0.5,False
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4588095238095239,0.1140271131778865,25,True,0,5.5,tox_cardiotoxicity,morphology+expression,0.5,
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5434523809523809,0.0969525739075636,25,False,0,5.8,tox_cardiotoxicity,morphology+expression,0.5,False
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5129761904761905,0.1284828839726245,25,True,0,8.7,tox_cardiotoxicity,morphology+expression,0.5,
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5842857142857142,0.0970757237682249,25,False,0,45.0,tox_cardiotoxicity,morphology+expression,0.5,False
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.505,0.1185875634460951,25,True,0,48.5,tox_cardiotoxicity,morphology+expression,0.5,
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4579761904761905,0.0662578879058981,25,False,0,8.2,tox_cardiotoxicity,morphology+ecfp,0.5,False
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4417857142857143,0.0973613031753841,25,True,0,6.7,tox_cardiotoxicity,morphology+ecfp,0.5,
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.3988095238095238,0.1221065340959862,25,False,0,0.1,tox_cardiotoxicity,morphology+ecfp,0.5,False
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.3777380952380952,0.1202938343223114,25,True,0,0.1,tox_cardiotoxicity,morphology+ecfp,0.5,
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4776190476190476,0.1119051418433266,25,False,0,0.1,tox_cardiotoxicity,morphology+ecfp,0.5,False
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4489285714285714,0.1213575889637437,25,True,0,0.1,tox_cardiotoxicity,morphology+ecfp,0.5,
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.474047619047619,0.1282583268747039,25,False,0,0.4,tox_cardiotoxicity,morphology+ecfp,0.5,False
